scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
53640;PARENT;7;495;803,25;13,39;349
91666;LECONTE;7;495;828,5;13,81;199
95986;GEORGES;7;496;827,5;13,79;205
1951;LEDOUX;7;496;858,5;14,31;108
64737;LEGROS;7;497;831,5;13,86;184
98240;GERMAIN;7;497;852,5;14,21;130
19620;LEBRETON;7;497;854,75;14,25;122
85817;DEVAUX;7;498;804,75;13,41;340
63852;THIERRY;7;499;833,5;13,89;179
6916;TESSIER;7;499;859,75;14,33;105
37665;MENARD;7;500;949,25;15,82;11
81438;BLOT;7;500;951,75;15,86;10
45838;LAMBERT;7;501;972,25;16,2;4
109253;RAYMOND;7;502;823;13,72;233
107520;HAMEL;7;503;794,75;13,25;420
68366;CHAUVIN;7;503;850,5;14,18;137
111801;MARTINEAU;7;503;861,5;14,36;99
101926;RIBEIRO;7;505;839;13,98;160
1070;WEISS;7;507;822;13,7;237
116303;CARON;7;507;825,75;13,76;218
47329;PREVOST;7;507;875,75;14,6;73
26103;BERNARD;7;508;838,5;13,98;163
27092;COSTE;7;508;860,75;14,35;101
111790;MAILLARD;7;508;867;14,45;90
90989;FERNANDES;7;509,5;855,5;14,26;117
11390;BOUSQUET;7;510;837,25;13,95;165
25043;LECLERCQ;7;511;971,75;16,2;5
16804;LELEU;7;513;909;15,15;24
18071;THIERRY;7;513,5;783,75;13,06;501
77901;PAUL;7;514;829,5;13,83;191
7981;ARNAUD;7;515;806;13,43;329
39659;MARTINS;7;516;869,5;14,49;83
112260;POIRIER;7;516;987,75;16,46;1
118174;REY;7;517;876,5;14,61;70
43692;CHRETIEN;7;519;836,25;13,94;169
45256;PHILIPPE;7;519;893;14,88;42
102889;CHEVALIER;7;520;822,25;13,7;236
14301;LEROY;7;520;853;14,22;127
9507;BESSON;7;521;818,5;13,64;252
83619;ROBIN;7;524;908,75;15,15;25
67286;PIERRE;7;524,5;851,25;14,19;135
71356;BOURGEOIS;7;525,5;839,75;14;157
25963;GAUTIER;7;528;870,75;14,51;80
1989;GONZALEZ;7;529;955,5;15,93;9
73479;MENDES;7;532;879,25;14,65;66
68174;BENOIT;7;533;827,25;13,79;208
34244;MARQUES;7;534;920,5;15,34;19
36689;LECONTE;7;535;898;14,97;38
8590;DIJOUX;7;537;902,5;15,04;33
93152;HARDY;7;540;970,5;16,18;6
100759;GIRAUD;7;545;890;14,83;48
33665;BENARD;7;546;885,5;14,76;53
69134;REYNAUD;7;564;906,25;15,1;28
116281;DOS SANTOS;7;577;908,75;15,15;26
39052;MOULIN;7;591;935;15,58;14
54482;PETIT;7;;286,5;4,78;2572
18324;MILLET;7;;301,25;5,02;2585
3570;RENARD;7;;343,75;5,73;2402
114994;LAPORTE;6;;;;
86109;MENDES;6;;;;
49682;LEVY;6;;;;
112865;NAVARRO;6;;;;
117214;ALEXANDRE;6;;;;
40246;JEAN;6;;;;
104358;HAMEL;6;;;;
93937;TORRES;6;;;;
119977;DE SOUSA;6;;;;
9202;LEMOINE;6;;;;
92154;WEISS;6;;;;
117932;MARCHAL;6;;;;
29931;BARON;6;;;;
106782;MAILLARD;6;;;;
679;TANGUY;6;;;;
118539;RAYNAUD;6;;;;
6317;SCHMITT;6;;;;
11116;WEISS;6;;;;
116568;REY;6;;;;
95730;DELANNOY;6;;;;
77668;LEBRETON;6;;;;
60320;LECOQ;6;;;;
109165;CHARTIER;6;;;;
81022;COHEN;6;;;;
71808;DUPUY;6;;;;
38435;MARTINEAU;6;;;;
26236;MARTINEZ;6;;;;
52420;BERGER;6;;;;
49034;BOULANGER;6;;;;
108431;SIMON;6;;;;
30694;LOPEZ;6;;;;
87023;LEVEQUE;6;;;;
23443;PARENT;6;;;;
97073;ROY;6;;;;
40327;DAVID;6;;;;
35737;LEVY;6;;;;
13315;DUVAL;6;;;;
51008;BONNEAU;6;;;;
55221;COHEN;6;;;;
52595;BLONDEL;6;;;;
111946;CARRE;6;;;;
58304;FABRE;6;;;;
1246;NAVARRO;6;;;;
79241;MERCIER;6;;;;
74041;DUHAMEL;6;;;;
71083;TURPIN;6;;;;
89558;MORENO;6;;;;
102746;HUBERT;6;;;;
99949;RICHARD;6;;;;
44796;PARIS;6;;;;
46459;RUIZ;6;;;;
76017;GUYON;6;;;;
78768;GUYOT;6;;;;
81673;MAILLET;6;;;;
100571;DUPONT;6;;;;
31579;PAUL;6;;;;
77967;BERNIER;6;;;;
32869;ROYER;6;;;;
54473;LAMY;6;;;;
62016;LECLERC;6;;;;
40084;ROUSSEAU;6;;;;
12857;BENARD;6;;;;
40592;GALLET;6;;;;
30795;LUCAS;6;;;;
107718;BRUNEAU;6;;;;
12041;MENARD;6;;;;
76448;BRIAND;6;;;;
102076;LEMAIRE;6;;;;
56343;BARTHELEMY;6;;;;
84328;COUSIN;6;;;;
51175;DELAUNAY;6;;;;
9925;COLIN;6;;;;
99304;BLANCHET;6;;;;
106208;GRENIER;6;;;;
79152;BRUN;6;;;;
98398;COLLIN;6;;;;
69465;NORMAND;6;;;;
13;VALLEE;6;;;;
52383;DELAUNAY;6;;;;
62591;ROCHE;6;;;;
44352;TESSIER;6;;;;
119922;GAILLARD;6;;;;
72914;TESSIER;6;;;;
